 Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,1384,0.57,0,0,6.01,0.57,3.42,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2014,10,1384,101.46,35.72,162.19,0,0.00
2014,10,2,275,1384,0.52,0,0,4.13,0.52,2.16,0,0,0,0,28.56,26.4,536.45,268.22,507.89,510.05,0,,2014,11,1384,43.45,43.15,195.93,0,0.00
2014,10,3,276,1384,0.49,0,0,4.1,0.49,1.99,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2014,12,1384,31.93,34.69,157.52,0,0.00
2014,10,4,277,1384,0.46,0,0,4.11,0.46,1.87,0,0,0,0,28.27,26.4,536.45,268.22,508.18,510.05,0,,2015,1,1384,32.71,16.86,76.56,0,0.00
2014,10,5,278,1384,0.43,0,0,3.99,0.43,1.72,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2015,2,1384,56.48,36.24,164.55,0,0.00
2014,10,6,279,1384,0.41,0,0,4.02,0.41,1.65,0,0,0,0,28.05,26.4,536.45,268.22,508.4,510.05,0,,2015,3,1384,103.75,60.08,272.80,0,0.00
2014,10,7,280,1384,0.39,0,0,4.14,0.39,1.62,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2015,4,1384,139.25,70.84,321.66,0,0.00
2014,10,8,281,1384,0.37,0,0,4.75,0.37,1.77,0,0,0,0,28.17,26.4,536.45,268.22,508.28,510.05,0,,2015,5,1384,156.10,47.50,215.68,47.47,215.55
2014,10,9,282,1384,0.36,0,0,4.2,0.36,1.51,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2015,6,1384,203.55,166.28,755.02,166.29,755.07
2014,10,10,283,1384,0.35,0,0,3.66,0.35,1.27,0,0,0,0,27.67,26.4,536.45,268.22,508.78,510.05,0,,2015,7,1384,210.84,221.38,1005.22,221.38,1005.22
2014,10,11,284,1384,0.34,0,0,3.47,0.34,1.17,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,2015,8,1384,191.50,139.64,634.06,139.62,633.97
2014,10,12,285,1384,0.32,0,0,6.52,0.32,2.09,0,0,0,0,28.49,26.4,536.45,268.22,507.96,510.05,0,,2015,9,1384,147.50,12.86,58.39,0,0.00
2014,10,13,286,1384,0.31,0,0,4.07,0.31,1.27,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,14,287,1384,0.31,0,0,3,0.31,0.92,0,0,0,0,27.32,26.4,536.45,268.22,509.13,510.05,0,,,,,,,,,
2014,10,15,288,1384,0.3,0,0,2.3,0.3,0.69,0.46,0.46,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,16,289,1384,0.3,0,0,2.65,0.3,0.79,0.27,0.27,0,0,26.92,26.4,536.45,268.22,509.53,510.05,0,,,,,,,,,
2014,10,17,290,1384,0.29,0,0,2.47,0.29,0.72,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,18,291,1384,0.29,0,0,2.85,0.29,0.82,0,0,0,0,27.22,26.4,536.45,268.22,509.23,510.05,0,,,,,,,,,
2014,10,19,292,1384,0.28,0,0,2.92,0.28,0.83,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,20,293,1384,0.28,0,0,2.24,0.28,0.63,0,0,0,0,27.03,26.4,536.45,268.22,509.42,510.05,0,,,,,,,,,
2014,10,21,294,1384,0.28,0,0,2.61,0.28,0.72,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,22,295,1384,0.27,0,0,2.54,0.27,0.7,0,0,0,0,27.1,26.4,536.45,268.22,509.35,510.05,0,,,,,,,,,
2014,10,23,296,1384,0.27,0,0,2.44,0.27,0.66,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,24,297,1384,0.27,0,0,2.57,0.27,0.69,0,0,0,0,27.09,26.4,536.45,268.22,509.36,510.05,0,,,,,,,,,
2014,10,25,298,1384,0.26,0,0,2.26,0.26,0.6,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,26,299,1384,0.26,0,0,2.62,0.26,0.68,1.47,1.47,0,0,25.61,26.4,536.45,268.22,510.83,510.05,0,,,,,,,,,
2014,10,27,300,1384,0.26,0,0,2.46,0.26,0.64,0,0,0,0,26.25,26.4,536.45,268.22,510.2,510.05,0,,,,,,,,,
2014,10,28,301,1384,0.26,0,0,2.33,0.26,0.6,0,0,0,0,26.85,26.4,536.45,268.22,509.6,510.05,0,,,,,,,,,
2014,10,29,302,1384,0.25,0,0,2.38,0.25,0.6,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,10,30,303,1384,0.25,0,0,2.46,0.25,0.62,0,0,0,0,27.02,26.4,536.45,268.22,509.43,510.05,0,,,,,,,,,
2014,10,31,304,1384,0.25,0,0,1.19,0.25,0.3,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,1,305,1384,1.15,0,0,1.87,1.15,2.14,5.89,5.89,0,0,22.65,26.4,536.45,268.22,513.8,510.05,0,,,,,,,,,
2014,11,2,306,1384,1.14,0,0,2.21,1.14,2.52,0,0,0,0,25.17,26.4,536.45,268.22,511.28,510.05,0,,,,,,,,,
2014,11,3,307,1384,1.14,0,0,1.8,1.14,2.05,0,0,0,0,27.22,26.4,536.45,268.22,509.23,510.05,0,,,,,,,,,
2014,11,4,308,1384,1.01,0,0,1.74,1.01,1.75,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,5,309,1384,0.91,0,0,1.79,0.91,1.62,0,0,0,0,28.02,26.4,536.45,268.22,508.42,510.05,0,,,,,,,,,
2014,11,6,310,1384,0.83,0,0,1.92,0.83,1.59,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,7,311,1384,0.76,0,0,1.96,0.76,1.5,0,0,0,0,27.9,26.4,536.45,268.22,508.55,510.05,0,,,,,,,,,
2014,11,8,312,1384,0.71,0,0,1.88,0.71,1.34,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,9,313,1384,0.67,0,0,1.84,0.67,1.24,0,0,0,0,27.64,26.4,536.45,268.22,508.81,510.05,0,,,,,,,,,
2014,11,10,314,1384,0.64,0,0,1.97,0.64,1.26,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,11,315,1384,0.61,0,0,1.56,0.61,0.96,0,0,0,0,27.36,26.4,536.45,268.22,509.09,510.05,0,,,,,,,,,
2014,11,12,316,1384,0.59,0,0,1.44,0.59,0.86,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,13,317,1384,1.18,0,0,0.99,1.18,1.17,2.97,2.97,0,0,24.6,26.4,536.45,268.22,511.85,510.05,0,,,,,,,,,
2014,11,14,318,1384,1.17,0,0,1.32,1.17,1.54,1.54,1.54,0,0,24.6,26.4,536.45,268.22,511.85,510.05,0,,,,,,,,,
2014,11,15,319,1384,1.17,0,0,1.29,1.17,1.51,0,0,0,0,26.11,26.4,536.45,268.22,510.34,510.05,0,,,,,,,,,
2014,11,16,320,1384,1.16,0,0,2.03,1.16,2.35,0,0,0,0,28.46,26.4,536.45,268.22,507.99,510.05,0,,,,,,,,,
2014,11,17,321,1384,1.1,0,0,1.86,1.1,2.04,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,18,322,1384,1,0,0,1.39,1,1.38,0,0,0,0,27.78,26.4,536.45,268.22,508.66,510.05,0,,,,,,,,,
2014,11,19,323,1384,0.94,0,0,0.96,0.94,0.9,0.11,0.11,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,20,324,1384,1.2,0,0,0.62,1.2,0.74,3.18,3.18,0,0,23.96,26.4,536.45,268.22,512.49,510.05,0,,,,,,,,,
2014,11,21,325,1384,1.19,0,0,0.8,1.19,0.95,4.75,4.75,0,0,20.16,26.4,536.45,268.22,516.29,510.05,0,,,,,,,,,
2014,11,22,326,1384,1.18,0,0,1.2,1.18,1.42,0.13,0.13,0,0,21.45,26.4,536.45,268.22,515,510.05,0,,,,,,,,,
2014,11,23,327,1384,1.16,0,0,1.49,1.16,1.73,2.18,2.18,0,0,21,26.4,536.45,268.22,515.45,510.05,0,,,,,,,,,
2014,11,24,328,1384,1.16,0,0,1.37,1.16,1.59,0,0,0,0,22.59,26.4,536.45,268.22,513.86,510.05,0,,,,,,,,,
2014,11,25,329,1384,1.17,0,0,1.21,1.17,1.41,0,0,0,0,24,26.4,536.45,268.22,512.45,510.05,0,,,,,,,,,
2014,11,26,330,1384,1.17,0,0,1.17,1.17,1.37,0,0,0,0,25.37,26.4,536.45,268.22,511.08,510.05,0,,,,,,,,,
2014,11,27,331,1384,1.11,0,0,1.16,1.11,1.29,0,0,0,0,26.65,26.4,536.45,268.22,509.79,510.05,0,,,,,,,,,
2014,11,28,332,1384,1.03,0,0,1.1,1.03,1.13,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2014,11,29,333,1384,1.19,0,0,0.85,1.19,1.01,2.34,2.34,0,0,25.07,26.4,536.45,268.22,511.38,510.05,0,,,,,,,,,
2014,11,30,334,1384,1.19,0,0,0.66,1.19,0.79,4.36,4.36,0,0,21.5,26.4,536.45,268.22,514.95,510.05,0,,,,,,,,,
2014,12,1,335,1384,1.18,0,0,1,1.18,1.18,4.73,4.73,0,0,17.95,26.4,536.45,268.22,518.5,510.05,0,,,,,,,,,
2014,12,2,336,1384,1.19,0,0,0.66,1.19,0.79,1.16,1.16,0,0,17.57,26.4,536.45,268.22,518.87,510.05,0,,,,,,,,,
2014,12,3,337,1384,1.18,0,0,1.08,1.18,1.27,42.69,18.84,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,4,338,1384,1.18,0,0,1.07,1.18,1.26,18.3,1.26,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,5,339,1384,1.18,0,0,0.91,1.18,1.07,0.5,0.5,0,0,0.57,26.4,536.45,268.22,535.87,510.05,0,,,,,,,,,
2014,12,6,340,1384,1.18,0,0,1.07,1.18,1.26,2.74,1.83,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,7,341,1384,1.18,0,0,0.76,1.18,0.9,0.57,0.57,0,0,0.33,26.4,536.45,268.22,536.12,510.05,0,,,,,,,,,
2014,12,8,342,1384,1.18,0,0,0.8,1.18,0.95,0,0,0,0,1.28,26.4,536.45,268.22,535.17,510.05,0,,,,,,,,,
2014,12,9,343,1384,1.19,0,0,0.66,1.19,0.78,0,0,0,0,2.06,26.4,536.45,268.22,534.39,510.05,0,,,,,,,,,
2014,12,10,344,1384,1.19,0,0,0.91,1.19,1.08,0,0,0,0,3.14,26.4,536.45,268.22,533.31,510.05,0,,,,,,,,,
2014,12,11,345,1384,1.18,0,0,1.15,1.18,1.36,0.21,0.21,0,0,4.29,26.4,536.45,268.22,532.16,510.05,0,,,,,,,,,
2014,12,12,346,1384,1.2,0,0,0.6,1.2,0.72,72.49,5.01,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,13,347,1384,1.19,0,0,0.69,1.19,0.82,1.59,0.82,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,14,348,1384,1.19,0,0,0.71,1.19,0.85,0,0,0,0,0.85,26.4,536.45,268.22,535.6,510.05,0,,,,,,,,,
2014,12,15,349,1384,1.18,0,0,0.89,1.18,1.05,6.89,1.9,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,16,350,1384,1.17,0,0,1.18,1.17,1.38,9.15,1.38,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,17,351,1384,1.18,0,0,0.96,1.18,1.13,11.33,1.13,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,18,352,1384,1.18,0,0,0.91,1.18,1.08,3.87,1.08,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,19,353,1384,1.19,0,0,0.81,1.19,0.96,0.01,0.01,0,0,0.95,26.4,536.45,268.22,535.5,510.05,0,,,,,,,,,
2014,12,20,354,1384,1.19,0,0,0.64,1.19,0.76,14.79,1.71,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2014,12,21,355,1384,1.19,0,0,0.97,1.19,1.15,0,0,0,0,1.15,26.4,536.45,268.22,535.3,510.05,0,,,,,,,,,
2014,12,22,356,1384,1.19,0,0,0.79,1.19,0.94,0,0,0,0,2.09,26.4,536.45,268.22,534.36,510.05,0,,,,,,,,,
2014,12,23,357,1384,1.19,0,0,0.72,1.19,0.86,0,0,0,0,2.95,26.4,536.45,268.22,533.5,510.05,0,,,,,,,,,
2014,12,24,358,1384,1.19,0,0,0.99,1.19,1.18,0,0,0,0,4.12,26.4,536.45,268.22,532.33,510.05,0,,,,,,,,,
2014,12,25,359,1384,1.15,0,0,1.88,1.15,2.17,0.78,0.78,0,0,5.51,26.4,536.45,268.22,530.94,510.05,0,,,,,,,,,
2014,12,26,360,1384,1,0,0,1.89,1,1.9,0,0,0,0,7.41,26.4,536.45,268.22,529.04,510.05,0,,,,,,,,,
2014,12,27,361,1384,0.96,0,0,0.76,0.96,0.73,0,0,0,0,8.14,26.4,536.45,268.22,528.31,510.05,0,,,,,,,,,
2014,12,28,362,1384,0.92,0,0,0.74,0.92,0.68,0,0,0,0,8.82,26.4,536.45,268.22,527.63,510.05,0,,,,,,,,,
2014,12,29,363,1384,0.9,0,0,0.56,0.9,0.5,0,0,0,0,9.32,26.4,536.45,268.22,527.13,510.05,0,,,,,,,,,
2014,12,30,364,1384,0.8,0,0,2.49,0.8,1.99,0,0,0,0,11.31,26.4,536.45,268.22,525.14,510.05,0,,,,,,,,,
2014,12,31,365,1384,0.72,0,0,2.68,0.72,1.94,0,0,0,0,13.25,26.4,536.45,268.22,523.2,510.05,0,,,,,,,,,
2015,1,1,1,1384,0.7,0,0,0.88,0.7,0.62,0,0,0,0,13.87,26.4,536.45,268.22,522.58,510.05,0,,,,,,,,,
2015,1,2,2,1384,0.69,0,0,0.86,0.69,0.59,0,0,0,0,14.46,26.4,536.45,268.22,521.99,510.05,0,,,,,,,,,
2015,1,3,3,1384,0.67,0,0,0.85,0.67,0.57,0,0,0,0,15.03,26.4,536.45,268.22,521.42,510.05,0,,,,,,,,,
2015,1,4,4,1384,0.65,0,0,0.96,0.65,0.63,0,0,0,0,15.65,26.4,536.45,268.22,520.79,510.05,0,,,,,,,,,
2015,1,5,5,1384,0.64,0,0,0.87,0.64,0.55,0,0,0,0,16.21,26.4,536.45,268.22,520.24,510.05,0,,,,,,,,,
2015,1,6,6,1384,0.62,0,0,1.17,0.62,0.72,0,0,0,0,16.93,26.4,536.45,268.22,519.51,510.05,0,,,,,,,,,
2015,1,7,7,1384,0.6,0,0,1.17,0.6,0.7,0,0,0,0,17.64,26.4,536.45,268.22,518.81,510.05,0,,,,,,,,,
2015,1,8,8,1384,0.59,0,0,1,0.59,0.59,0,0,0,0,18.23,26.4,536.45,268.22,518.22,510.05,0,,,,,,,,,
2015,1,9,9,1384,0.58,0,0,0.87,0.58,0.5,0,0,0,0,18.73,26.4,536.45,268.22,517.72,510.05,0,,,,,,,,,
2015,1,10,10,1384,0.57,0,0,0.96,0.57,0.54,0,0,0,0,19.27,26.4,536.45,268.22,517.17,510.05,0,,,,,,,,,
2015,1,11,11,1384,0.56,0,0,0.88,0.56,0.49,0,0,0,0,19.77,26.4,536.45,268.22,516.68,510.05,0,,,,,,,,,
2015,1,12,12,1384,0.55,0,0,1.05,0.55,0.57,0,0,0,0,20.34,26.4,536.45,268.22,516.11,510.05,0,,,,,,,,,
2015,1,13,13,1384,0.53,0,0,1.18,0.53,0.63,0,0,0,0,20.97,26.4,536.45,268.22,515.48,510.05,0,,,,,,,,,
2015,1,14,14,1384,0.53,0,0,0.69,0.53,0.36,0,0,0,0,21.33,26.4,536.45,268.22,515.11,510.05,0,,,,,,,,,
2015,1,15,15,1384,0.52,0,0,0.69,0.52,0.36,0,0,0,0,21.69,26.4,536.45,268.22,514.75,510.05,0,,,,,,,,,
2015,1,16,16,1384,0.52,0,0,0.57,0.52,0.29,0,0,0,0,21.99,26.4,536.45,268.22,514.46,510.05,0,,,,,,,,,
2015,1,17,17,1384,0.51,0,0,0.56,0.51,0.29,0.01,0.01,0,0,22.27,26.4,536.45,268.22,514.18,510.05,0,,,,,,,,,
2015,1,18,18,1384,0.51,0,0,0.61,0.51,0.31,0,0,0,0,22.58,26.4,536.45,268.22,513.87,510.05,0,,,,,,,,,
2015,1,19,19,1384,0.5,0,0,0.7,0.5,0.35,0,0,0,0,22.93,26.4,536.45,268.22,513.52,510.05,0,,,,,,,,,
2015,1,20,20,1384,0.5,0,0,0.79,0.5,0.39,0,0,0,0,23.32,26.4,536.45,268.22,513.13,510.05,0,,,,,,,,,
2015,1,21,21,1384,0.49,0,0,0.98,0.49,0.48,0,0,0,0,23.8,26.4,536.45,268.22,512.65,510.05,0,,,,,,,,,
2015,1,22,22,1384,0.48,0,0,0.73,0.48,0.35,0,0,0,0,24.15,26.4,536.45,268.22,512.3,510.05,0,,,,,,,,,
2015,1,23,23,1384,0.48,0,0,0.98,0.48,0.47,0,0,0,0,24.62,26.4,536.45,268.22,511.83,510.05,0,,,,,,,,,
2015,1,24,24,1384,0.47,0,0,0.94,0.47,0.44,0,0,0,0,25.06,26.4,536.45,268.22,511.39,510.05,0,,,,,,,,,
2015,1,25,25,1384,0.46,0,0,1.02,0.46,0.47,0,0,0,0,25.53,26.4,536.45,268.22,510.91,510.05,0,,,,,,,,,
2015,1,26,26,1384,0.46,0,0,1.28,0.46,0.58,0,0,0,0,26.12,26.4,536.45,268.22,510.33,510.05,0,,,,,,,,,
2015,1,27,27,1384,0.45,0,0,1.12,0.45,0.5,0,0,0,0,26.62,26.4,536.45,268.22,509.83,510.05,0,,,,,,,,,
2015,1,28,28,1384,0.44,0,0,1.53,0.44,0.67,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2015,1,29,29,1384,0.43,0,0,1.43,0.43,0.62,0,0,0,0,27.02,26.4,536.45,268.22,509.43,510.05,0,,,,,,,,,
2015,1,30,30,1384,0.42,0,0,1.93,0.42,0.82,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2015,1,31,31,1384,0.41,0,0,3.46,0.41,1.41,0,0,0,0,27.81,26.4,536.45,268.22,508.64,510.05,0,,,,,,,,,
2015,2,1,32,1384,0.4,0,0,1.44,0.4,0.58,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2015,2,2,33,1384,0.4,0,0,1.46,0.4,0.58,0,0,0,0,26.98,26.4,536.45,268.22,509.47,510.05,0,,,,,,,,,
2015,2,3,34,1384,0.39,0,0,1.52,0.39,0.59,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2015,2,4,35,1384,0.38,0,0,1.4,0.38,0.54,0,0,0,0,26.94,26.4,536.45,268.22,509.51,510.05,0,,,,,,,,,
2015,2,5,36,1384,0.38,0,0,1.08,0.38,0.41,0,0,0,0,26.4,26.4,536.45,268.22,510.05,510.05,0,,,,,,,,,
2015,2,6,37,1384,0.37,0,0,2.04,0.37,0.76,0.04,0.04,0,0,27.12,26.4,536.45,268.22,509.33,510.05,0,,,,,,,,,
2015,2,7,38,1384,1.16,0,0,1.42,1.16,1.65,27.21,27.21,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2015,2,8,39,1384,1.17,0,0,1.3,1.17,1.52,4.76,1.52,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2015,2,9,40,1384,1.14,0,0,2,1.14,2.28,20.3,2.28,0,0,0,26.4,536.45,268.22,536.45,510.05,0,,,,,,,,,
2015,2,10,41,1384,1.14,0,0,1.82,1.14,2.08,0,0,0,0,2.08,26.4,536.45,268.22,534.37,510.05,0,,,,,,,,,
2015,2,11,42,1384,1.15,0,0,1.61,1.15,1.85,0,0,0,0,3.93,26.4,536.45,268.22,532.52,510.05,0,,,,,,,,,
2015,2,12,43,1384,1.02,0,0,1.97,1.02,2.02,0,0,0,0,5.94,26.4,536.45,268.22,530.5,510.05,0,,,,,,,,,
2015,2,13,44,1384,0.91,0,0,2,0.91,1.81,0,0,0,0,7.76,26.4,536.45,268.22,528.69,510.05,0,,,,,,,,,
2015,2,14,45,1384,0.82,0,0,2.16,0.82,1.77,0,0,0,0,9.53,26.4,536.45,268.22,526.92,510.05,0,,,,,,,,,
2015,2,15,46,1384,0.75,0,0,2.09,0.75,1.57,0,0,0,0,11.1,26.4,536.45,268.22,525.35,510.05,0,,,,,,,,,
2015,2,16,47,1384,0.7,0,0,2.19,0.7,1.53,0,0,0,0,12.63,26.4,536.45,268.22,523.82,510.05,0,,,,,,,,,
2015,2,17,48,1384,0.66,0,0,1.85,0.66,1.22,0,0,0,0,13.85,26.4,536.45,268.22,522.6,510.05,0,,,,,,,,,
2015,2,18,49,1384,0.63,0,0,1.58,0.63,1,0,0,0,0,14.85,26.4,536.45,268.22,521.6,510.05,0,,,,,,,,,
2015,2,19,50,1384,0.62,0,0,1.04,0.62,0.64,0,0,0,0,15.49,26.4,536.45,268.22,520.96,510.05,0,,,,,,,,,
2015,2,20,51,1384,0.59,0,0,2,0.59,1.18,0,0,0,0,16.67,26.4,536.45,268.22,519.78,510.05,0,,,,,,,,,
2015,2,21,52,1384,0.57,0,0,1.73,0.57,0.98,0,0,0,0,17.65,26.4,536.45,268.22,518.8,510.05,0,,,,,,,,,
2015,2,22,53,1384,0.53,0,0,3.63,0.53,1.92,0,0,0,0,19.57,26.4,536.45,268.22,516.88,510.05,0,,,,,,,,,
2015,2,23,54,1384,0.49,0,0,4.25,0.49,2.08,0,0,0,0,21.65,26.4,536.45,268.22,514.8,510.05,0,,,,,,,,,
2015,2,24,55,1384,0.47,0,0,2.81,0.47,1.32,0,0,0,0,22.97,26.4,536.45,268.22,513.48,510.05,0,,,,,,,,,
